         24794591 function calls (24687411 primitive calls) in 23.305 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   211159    0.026    0.000    0.026    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\graph.py:230(ds)
   281881    0.026    0.000    0.026    0.000 {method 'values' of 'dict' objects}
    35213    0.025    0.000    0.033    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\generic.py:586(_get_axis)
   293654    0.025    0.000    0.025    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
    88330    0.024    0.000    0.036    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\indexes\base.py:909(__len__)
    70373    0.024    0.000    0.024    0.000 {method 'set' of '_contextvars.ContextVar' objects}
   240877    0.024    0.000    0.024    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\numeric.py:63(_zeros_like_dispatcher)
   281512    0.024    0.000    0.024    0.000 {built-in method numpy.geterrobj}
   228707    0.023    0.000    0.023    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\fromnumeric.py:2416(_all_dispatcher)
   123152    0.023    0.000    0.023    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\field\graph_field.py:212(size)
    87984    0.022    0.000    0.022    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\common.py:152(cast_scalar_indexer)
    35186    0.021    0.000    0.099    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\common.py:97(is_bool_indexer)
    35237    0.020    0.000    0.041    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\core\utils.py:167(as_id_array)
    17592    0.020    0.000    0.072    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\field\graph_field.py:1038(zeros)
    70372    0.019    0.000    0.298    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\dual.py:47(<lambda>)
    70517    0.019    0.000    0.025    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
    87987    0.018    0.000    0.018    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\landlab\graph\structured_quad\structured_quad.py:754(dx)
    17592    0.017    0.000    0.094    0.000 {method 'mean' of 'numpy.generic' objects}
    52791    0.017    0.000    0.067    0.000 C:\Users\leoco\anaconda3\envs\stopet_test\Lib\site-packages\numpy\core\_methods.py:55(_any)
    70373    0.016    0.000    0.016    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
